,Age,Embarked,Fare,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Title,NameLen
0,22.0,2,7.25,0,1,3,1,1,0.0,12,20
1,38.0,0,71.2833,0,2,1,0,1,1.0,13,47
2,26.0,2,7.925,0,3,3,0,0,1.0,9,17
3,35.0,2,53.1,0,4,1,0,1,1.0,13,40
4,35.0,2,8.05,0,5,3,1,0,0.0,12,21
5,29.84259578544061,1,8.4583,0,6,3,1,0,0.0,12,13
6,54.0,2,51.8625,0,7,1,1,0,0.0,12,20
7,2.0,2,21.075,1,8,3,1,3,0.0,8,23
8,27.0,2,11.1333,2,9,3,0,0,1.0,13,45
9,14.0,0,30.0708,0,10,2,0,1,1.0,13,31
10,4.0,2,16.7,1,11,3,0,1,1.0,9,26
11,58.0,2,26.55,0,12,1,0,0,1.0,9,19
12,20.0,2,8.05,0,13,3,1,0,0.0,12,27
13,39.0,2,31.275,5,14,3,1,1,0.0,12,24
14,14.0,2,7.8542,0,15,3,0,0,0.0,9,31
15,55.0,2,16.0,0,16,2,0,0,1.0,13,28
16,2.0,1,29.125,1,17,3,1,4,0.0,8,13
17,29.84259578544061,2,13.0,0,18,2,1,0,1.0,12,25
18,31.0,2,18.0,0,19,3,0,1,0.0,13,51
19,29.84259578544061,0,7.225,0,20,3,0,0,1.0,13,19
20,35.0,2,26.0,0,21,2,1,0,0.0,12,17
21,34.0,2,13.0,0,22,2,1,0,1.0,12,18
22,15.0,1,8.0292,0,23,3,0,0,1.0,9,22
23,28.0,2,35.5,0,24,1,1,0,1.0,12,25
24,8.0,2,21.075,1,25,3,0,3,0.0,9,24
25,38.0,2,31.3875,5,26,3,0,1,1.0,13,53
26,29.84259578544061,0,7.225,0,27,3,1,0,0.0,12,20
27,19.0,2,263.0,2,28,1,1,3,0.0,12,27
28,29.84259578544061,1,7.8792,0,29,3,0,0,1.0,9,24
29,29.84259578544061,2,7.8958,0,30,3,1,0,0.0,12,16
30,40.0,0,27.7208,0,31,1,1,0,0.0,2,20
31,29.84259578544061,0,146.5208,0,32,1,0,1,1.0,13,42
32,29.84259578544061,1,7.75,0,33,3,0,0,1.0,9,19
33,66.0,2,10.5,0,34,2,1,0,0.0,12,18
34,28.0,0,82.1708,0,35,1,1,1,0.0,12,20
35,42.0,2,52.0,0,36,1,1,1,0.0,12,27
36,29.84259578544061,0,7.2292,0,37,3,1,0,1.0,12,13
37,21.0,2,8.05,0,38,3,1,0,0.0,12,21
38,18.0,2,18.0,0,39,3,0,2,0.0,9,29
39,14.0,0,11.2417,0,40,3,0,1,1.0,9,22
40,40.0,2,9.475,0,41,3,0,1,0.0,13,42
41,27.0,2,21.0,0,42,2,0,1,0.0,13,52
42,29.84259578544061,0,7.8958,0,43,3,1,0,0.0,12,16
43,3.0,0,41.5792,2,44,2,0,1,1.0,9,35
44,19.0,1,7.8792,0,45,3,0,0,1.0,9,24
45,29.84259578544061,2,8.05,0,46,3,1,0,0.0,12,21
46,29.84259578544061,1,15.5,0,47,3,1,1,0.0,12,14
47,29.84259578544061,1,7.75,0,48,3,0,0,1.0,9,20
48,29.84259578544061,0,21.6792,0,49,3,1,2,0.0,12,16
49,18.0,2,17.8,0,50,3,0,1,0.0,13,41
50,7.0,2,39.6875,1,51,3,1,4,0.0,8,19
51,21.0,2,7.8,0,52,3,1,0,0.0,12,25
52,49.0,0,76.7292,0,53,1,0,1,1.0,13,36
53,29.0,2,26.0,0,54,2,0,1,1.0,13,46
54,65.0,0,61.9792,1,55,1,1,0,0.0,12,27
55,29.84259578544061,2,35.5,0,56,1,1,0,1.0,12,14
56,21.0,2,10.5,0,57,2,0,0,1.0,9,12
57,28.5,0,7.2292,0,58,3,1,0,0.0,12,16
58,5.0,2,27.75,2,59,2,0,1,1.0,9,23
59,11.0,2,46.9,2,60,3,1,5,0.0,8,27
60,22.0,0,7.2292,0,61,3,1,0,0.0,12,18
62,45.0,2,83.475,0,63,1,1,1,0.0,12,24
63,4.0,2,27.9,2,64,3,1,3,0.0,8,14
64,29.84259578544061,0,27.7208,0,65,1,1,0,0.0,12,18
65,29.84259578544061,0,15.2458,1,66,3,1,1,1.0,8,17
66,29.0,2,10.5,0,67,2,0,0,1.0,13,24
67,19.0,2,8.1583,0,68,3,1,0,0.0,12,21
68,17.0,2,7.925,2,69,3,0,4,1.0,9,26
69,26.0,2,8.6625,0,70,3,1,2,0.0,12,14
70,32.0,2,10.5,0,71,2,1,0,0.0,12,23
71,16.0,2,46.9,2,72,3,0,5,0.0,9,21
72,21.0,2,73.5,0,73,2,1,0,0.0,12,17
73,26.0,0,14.4542,0,74,3,1,1,0.0,12,24
74,32.0,2,56.4958,0,75,3,1,0,1.0,12,10
75,25.0,2,7.65,0,76,3,1,0,0.0,12,20
76,29.84259578544061,2,7.8958,0,77,3,1,0,0.0,12,14
77,29.84259578544061,2,8.05,0,78,3,1,0,0.0,12,21
78,0.83,2,29.0,2,79,2,1,0,1.0,8,22
79,30.0,2,12.475,0,80,3,0,0,1.0,9,19
80,22.0,2,9.0,0,81,3,1,0,0.0,12,17
81,29.0,2,9.5,0,82,3,1,0,1.0,12,24
82,29.84259578544061,1,7.7875,0,83,3,0,0,1.0,9,25
83,28.0,2,47.1,0,84,1,1,0,0.0,12,20
84,17.0,2,10.5,0,85,2,0,0,1.0,9,14
85,33.0,2,15.85,0,86,3,0,3,1.0,13,51
86,16.0,2,34.375,3,87,3,1,1,0.0,12,19
87,29.84259578544061,2,8.05,0,88,3,1,0,0.0,12,26
88,23.0,2,263.0,2,89,1,0,3,1.0,9,21
89,24.0,2,8.05,0,90,3,1,0,0.0,12,19
90,29.0,2,8.05,0,91,3,1,0,0.0,12,17
91,20.0,2,7.8542,0,92,3,1,0,0.0,12,23
92,46.0,2,61.175,0,93,1,1,1,0.0,12,24
93,26.0,2,20.575,2,94,3,1,1,0.0,12,20
94,59.0,2,7.25,0,95,3,1,0,0.0,12,14
95,29.84259578544061,2,8.05,0,96,3,1,0,0.0,12,24
96,71.0,0,34.6542,0,97,1,1,0,0.0,12,22
97,23.0,0,63.3583,1,98,1,1,0,1.0,12,28
98,34.0,2,23.0,1,99,2,0,0,1.0,13,32
99,34.0,2,26.0,0,100,2,1,1,0.0,12,14
100,28.0,2,7.8958,0,101,3,0,0,0.0,9,18
